"sub_id";"sub_name";"branch";"semester";"category";"marks"
"AUC-001";"HUMAN VALUES AND PROFESSIONAL ETHICS";"CSE";"4";"T";"100"
"AUC-001";"HUMAN VALUES & PROF. ETHICS";"EI";"4";"T";"100"
"AUC-001";"HUMAN VALUES AND PROFESSIONAL ETHICS";"EN";"4";"T";"100"
"AUC-001";"Human Values & Professional Ethics";"IT";"4";"T";"100"
"AUC-001";"Human Values and Professional Ethics";"MCA";"4";"T";"100"
"AUC-002";"Cyber Security";"CE";"4";"T";"100"
"AUC-002";"CYBER SECURITY";"ECE";"4";"T";"100"
"AUC-002";"CYBER SECURITY";"MBA";"4";"T";"100"
"AUC-002";"Cyber Security";"ME";"4";"T";"100"
"EHU-402";"Industrial Sociology";"IT";"4";"T";"100"
"NAS-401";"Engg. Mathematics-III";"CE";"4";"T";"100"
"NAS-401";"ENGG. MATHEMATICS -III";"ECE";"4";"T";"100"
"NAS-401";"Engg. Mathematics-III";"ME";"4";"T";"100"
"NCE-011";"Advanced Foundation Design";"CE";"6";"T";"100"
"NCE-023";"Transportation System and Planning";"CE";"6";"T";"100"
"NCE-052";"Analysis and Design of Hydraulic Structures";"CE";"8";"T";"100"
"NCE-064";"Earthquake Resistant Design of Structures";"CE";"8";"T";"100"
"NCE-401";"Structural Analysis-1";"CE";"4";"T";"100"
"NCE-402";"Geo- informatics";"CE";"4";"T";"100"
"NCE-403";"Hydraulics & Hy. Machines";"CE";"4";"T";"100"
"NCE-404";"Engineering Geology";"CE";"4";"T";"100"
"NCE-451";"Structural Analysis Lab";"CE";"4";"P";""
"NCE-452";"Geo-informatics Lab";"CE";"4";"P";""
"NCE-453";"Hydraulics & Machine Lab";"CE";"4";"P";""
"NCE-455";"CBSNT Lab";"CE";"4";"P";""
"NCE-601";"Design of Concrete Structures-2";"CE";"6";"T";"100"
"NCE-602";"Environmental Engg.-2";"CE";"6";"T";"100"
"NCE-603";"Construction Technology & Management";"CE";"6";"T";"100"
"NCE-651";"Structural Detailing Lab";"CE";"6";"P";""
"NCE-652";"Environmental Engineering Lab";"CE";"6";"P";""
"NCE-653";"CAD Lab-2";"CE";"6";"P";""
"NCE-654";"SURVEY CAMP";"CE";"6";"P";""
"NCE-801";"Transportation  Engg.-2";"CE";"8";"T";"100"
"NCE-853";"Project";"CE";"8";"P";""
"NCS-063";"PARALLEL ALGORITHM";"CSE";"6";"T";"100"
"NCS-068";"E-COMMERCE";"CSE";"6";"T";"100"
"NCS-080";"PATTERN REOGNITION";"CSE";"8";"T";"100"
"NCS-080";"Pattern Recognition";"IT";"8";"T";"100"
"NCS-085";"DATA COMPRESSION";"CSE";"8";"T";"100"
"NCS-085";"Data Compression";"IT";"8";"T";"100"
"NCS-401";"OPERATING SYSTEM";"CSE";"4";"T";"100"
"NCS-401";"Operating System";"IT";"4";"T";"100"
"NCS-402";"THEORY OF AUTOMATA AND FORMAL LANGUAGES ";"CSE";"4";"T";"100"
"NCS-402";"Theory Of Automata and Formal Launguage";"IT";"4";"T";"100"
"NCS-403";"COMPUTER GRAPHICS";"CSE";"4";"T";"100"
"NCS-451";"Operating System Lab";"CSE";"4";"P";""
"NCS-451";"Operating System Lab";"IT";"4";"P";""
"NCS-453";"COMPUTER GRAPHICS LAB";"CSE";"4";"P";""
"NCS-455";"FUNCTIONAL AND LOGIC PROGRAMMING LAB  ";"CSE";"4";"P";""
"NCS-455";"Functional and Logic Programming Lab";"IT";"4";"P";""
"NCS-601";"COMPUTER NETWORKS";"CSE";"6";"T";"100"
"NCS-601";"Computer Networks";"IT";"6";"T";"100"
"NCS-602";"SOFTWARE ENGINEERING ";"CSE";"6";"T";"100"
"NCS-602";"Software Engineering";"IT";"6";"T";"100"
